InterZone,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing
S02001896,Braidfauld,"5637","5570","2797","263753","663145"
S02001897,Shettleston South,"3887","3863","1664","264613","662967"
S02001898,Carmyle and Mount Vernon South,"2701","2635","1187","265186","661806"
S02001899,Mount Vernon North and Sandyhills,"3766","3760","1569","266165","663384"
S02001900,Baillieston West,"3842","3842","1762","267190","663419"
S02001901,Baillieston East,"5313","5251","2270","267871","663656"
S02001902,Garrowhill West,"4296","4292","1710","267219","664080"
S02001903,Garrowhill East and Swinton,"4298","4273","1627","268237","664406"
S02001904,Easterhouse East,"3183","3105","1488","268904","665690"
S02001905,Central Easterhouse,"2740","2740","1296","268010","665595"
S02001906,"Garthamlock, Auchinlea and Gartloch","3633","3633","1498","267111","666538"
S02001907,North Barlanark and Easterhouse South,"3405","3366","1449","266950","665434"
S02001908,Barlanark,"4904","4904","2212","266066","664871"
S02001909,Greenfield,"5228","5162","2536","264764","664564"
S02001910,Shettleston North,"4492","4492","2626","264808","664082"
S02001911,Tollcross,"3554","3554","1854","264089","664001"
S02001912,Old Shettleston and Parkhead North,"3573","3465","1735","263463","665057"
S02001913,Carntyne,"3419","3291","1710","263316","665776"
S02001914,"Cranhill, Lightburn and Queenslie South","6265","6126","2810","264269","665508"
S02001915,Craigend and Ruchazie,"5100","5052","2457","265183","666470"
S02001916,Riddrie and Hogganfield,"5861","5037","2353","263349","666091"
S02001917,Blackhill and Barmulloch East,"4421","4415","1981","263164","667236"
S02001918,Robroyston and Millerston,"6125","6023","2322","263549","668792"
S02001919,Balornock,"3585","3458","1408","262136","669048"
S02001920,Barmulloch,"2637","2637","1155","262121","667874"
S02001921,Petershill,"4307","4307","2101","261478","667529"
S02001922,Springburn,"4716","4577","2371","260869","668021"
S02001923,Springburn East and Cowlairs,"4273","4265","2242","260483","668477"
S02001924,Cowlairs and Port Dundas,"3609","3477","1904","259797","667399"
S02001925,Sighthill,"2320","2320","1119","260260","666502"
S02001926,"Roystonhill, Blochairn, and Provanmill","5773","5720","2944","260852","666115"
S02001927,Dennistoun North,"4030","3917","2194","261285","665645"
S02001928,Alexandra Parade,"2500","2461","1445","261605","665657"
S02001929,Carntyne West and Haghill,"5068","5068","2803","262140","665353"
S02001930,Dennistoun,"4195","4183","2227","261296","665131"
S02001931,Gallowgate North and Bellgrove,"4926","4132","2371","260882","664926"
S02001932,City Centre East,"9139","5800","3766","259625","665336"
S02001933,City Centre West,"4453","4208","2436","258607","666169"
S02001934,City Centre South,"2832","2796","1811","258498","665124"
S02001935,Anderston,"4420","4419","2464","257721","665622"
S02001936,Finnieston and Kelvinhaugh,"6985","5775","3100","256903","666035"
S02001937,Woodlands,"6449","6323","2914","257742","666481"
S02001938,Woodside,"3416","3334","1961","258112","666668"
S02001939,Firhill,"5667","5624","3088","257819","667183"
S02001940,Keppochhill,"4616","4287","2327","258435","667834"
S02001941,Ruchill,"6987","5757","3236","257256","668176"
S02001942,Possil Park,"5812","5694","2872","259347","668617"
S02001943,Milton West,"4190","4183","2018","259110","668929"
S02001944,Milton East,"3554","3516","1642","259769","669516"
S02001945,Summerston Central and West,"4093","4093","1848","257091","670168"
S02001946,Summerston North,"4031","3763","1802","256635","670039"
S02001947,Maryhill East,"3295","3295","1711","257470","669216"
S02001948,Maryhill West,"2742","2742","1425","256876","669223"
S02001949,Wyndford,"3619","3619","2261","256834","668381"
S02001950,Kelvindale,"6079","5371","2544","255835","668395"
S02001951,North Kelvin,"3795","3774","1863","257386","667428"
S02001952,Kelvingrove and University,"5946","5732","2669","256853","667062"
